s.no,code,Station,Latitude,Longitude
292,SGC,Saongi,21.7968548,79.9980079
293,LNW,Lakhanwara,21.7851242,79.8738276
294,KGE,Katangi,21.7654343,79.8099078
295,NGW,Nauganwan,23.249094,75.1570636
296,DTQ,Datarda Kalan,25.7394512,76.6971022
297,GPX,Gautampura Road,23.0267776,75.5287674
298,OM,Omkareshwar Road,22.2149369,76.0464568
299,CTJ,Chhataini,23.9943393,81.2774563
300,DTAP,Dhatura Alipur,22.4240314,80.1687578
301,SIKD,Sikroda Kwanri,26.5695519,77.9631409
302,KDHI,Kaladehi,22.8820854,79.8349335
303,TEO,Teegaon,21.6375858,78.4603095
304,MIAL,Milaoli,26.3002868,78.1199773
305,PWK,Pipariya Kalan,23.855429,80.729856
306,DMYA,Damoy,23.9712895,80.9977879
307,BKTL,Baktal,23.2515303,77.0127753
308,SYF,Semai,26.2854986,77.5239273
309,RENH,Renhat,25.9803749,77.8350778
310,PLA,Palia,22.830363,75.7994854
311,BWW,Barwaha,22.2561316,76.0309936
312,DRGM,Deoragram,24.1098103,82.3592234
313,RGG,Raghogarh,24.462893,77.1604574
314,DRPH,Devri P.H.,22.8413006,79.8336954
315,RIKA,Ratikheda,24.5963749,77.659544
316,PSO,Palsora Makrawan,23.2602676,75.5313599
317,THR,Thara,26.3563139,77.8509084
318,LEK,Lakhakhera,23.7607336,80.5643555
319,SKBR,Shankarpur Bhadaura,24.1038463,81.8692911
320,TKLN,Tarrakalan,25.9842667,76.9108632
321,RTGN,Ratangaon,23.8366822,79.902137
322,PHOP,Phoop,26.6558416,78.8816544
323,NUB,Nurabad,26.4050848,78.0776348
324,SLHA,Salhana,23.8054747,80.6389643
325,RAU,Rau,22.6336511,75.8051046
326,RAPU,Rampura,24.8445793,79.3515229
327,GGGS,Garha Goods Shed,23.1414003,79.8647065
328,MABN,Maban,24.6423216,77.3749371
329,TRDI,Tirodi,21.6800861,79.7166802
330,JKR,Jaulkhera,21.8603537,78.1997759
331,SFZ,Sinduriya Kachari,24.0215818,76.9262925
332,ULA,Umra Nala,21.875608,78.8805934
333,PDE,Pindrai,22.5122384,80.0467499
334,IKD,Ikdori,26.0543688,76.9517329
335,PTP,Patal Pani,22.5139628,75.7969037
336,JGZ,Jamgaon,22.4188607,80.19791
337,SMTL,Simariatal,25.9216715,78.3038826
338,MHDA,Mahdeiya,24.2095193,82.5883162
339,KMA,Kaima,24.6110538,80.8454651
340,SKAR,Sakariya,24.6040647,80.9060079
341,DHQ,Dharakhoh,22.0098397,77.9501204
342,BBY,Bhadroli,26.3011551,78.1809189
343,PAL,Palasner,22.2986014,77.0425004
344,ASL,Aslaoda,23.2309256,75.6079531
345,BBAR,Bara,26.1861475,73.7000078
346,SKNP,Sarkanpur,24.8232027,79.0639647
347,SOY,Sukrimangela,22.9071106,79.8346206
348,RNJ,Runija,23.1663555,75.2711142
349,SLV,Sandalpur,26.0829395,78.2034271
350,NKI,Naikheri,23.2007044,75.6827331
351,HKL,Harkia Khal,24.3630894,74.9190125
352,JPO,Jora Alapur,26.3445812,77.8022992
353,KNC,Kanchanpur Road,24.040791,81.6425961
354,BHAT,Bhatpura,26.3274272,77.6762749
355,BRNA,Berawanya,23.4666368,75.3365403
356,KRLS,Kurlasi,24.3555576,75.7281139
357,ISHN,Ishanagar,24.8539561,79.3932746
358,RJAK,Rajnagar,24.9038663,79.8774505
359,SBL,Sabalgarh,26.2507702,77.4085265
360,DKI,Dharamkundi,22.5103087,77.5487356
361,PUD,Phanda,23.231296,77.1875946
362,AAH,Itehar,26.561873,78.6720259
363,KAKN,Kaimarakalan,26.170662,77.2037241
364,SPDM,Singhpur Dumra,25.066363,79.8968977
365,RLK,Rohal Khurd,23.5113482,75.4855616
366,SORI,Sorai,23.5566889,77.8505778
367,PPCK,Pipalwali Chowk,26.26612,77.472799
368,MTA,Mathela,21.8787909,76.3891096
369,HNM,Hinautaramban,24.569394,80.9647549
370,BJPR,Bijaipur Road,26.1882753,77.2930352
371,SSGJ,Sursaraighat Jhara,24.0266808,82.1083617
372,BQE,Bakanian Bhaunri,23.2643328,77.2574235
373,AEH,Anant Paith,25.9553504,78.276429
374,CRK,Charkhera,22.3662569,77.160078
375,STLI,Sithouli,26.1465401,78.1872023
376,BMC,Bhimalgondi,21.7514696,78.928928
377,TILA,Tila,24.8357791,79.2860126
378,KHNR,Kachnara,23.8399434,75.1024415
379,MDGR,Manendragarh,23.21946,82.1977605
380,BMZ,Bamour Gaon,26.3438354,78.091625
381,PPG,Piploda Bagla,23.3616899,75.4292804
382,AGQ,Asirgarh Road,21.3780681,76.2674814
383,PGL,Pagdhal,22.4203226,77.3515124
384,MUO,Masangaon,22.2671007,76.9968487
385,SXA,Sagphata,21.5567099,76.3924339
386,CAZ,Chauhani,23.3325544,76.2653869
387,MZHL,Majhaoli,24.1756618,82.3924287
388,RRU,Rayaru,26.306033,78.1301513
389,RAMP,Rampuri,22.4089674,80.2549645
390,CCD,Chichonda,21.7092871,78.3525465
391,UNL,Unhel,23.3146414,75.4751033
392,KIKA,Kurwai Kethora,24.1183085,78.1156776
393,SCN,Sondha Road,26.4983516,78.4841356
394,MWA,Mandwa,21.515839,76.391775
395,GNWA,Ghunwara,24.1344686,80.6303889
